UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1,M10000,L,301.0,310.3,1601,20.4,210,0
2,M10001,L,299.7,309.4,1590,29.6,87,0
3,M10002,L,301.3,310.7,1371,34.2,178,0
4,M10003,L,303.0,313.2,1643,41.5,13,0
5,M10004,L,299.5,310.7,1272,50.1,117,0
6,M10005,H,299.5,308.8,1422,46.9,237,0
7,M10006,L,303.2,314.2,1181,28.3,69,0
8,M10007,M,301.5,310.8,1818,36.3,13,0
9,M10008,H,299.1,308.2,1498,40.8,147,0
10,M10009,H,301.1,311.9,1927,37.4,90,0
11,M10010,M,299.1,310.0,1683,37.3,96,0
12,M10011,H,299.1,309.9,1619,22.9,147,0
13,M10012,L,300.5,309.2,1434,28.6,157,0
14,M10013,M,296.2,305.7,1352,36.0,111,0
15,M10014,H,296.6,307.4,1633,9.4,128,0
16,M10015,L,298.9,308.9,1526,46.3,251,0
17,M10016,L,298.0,306.9,1299,26.4,242,0
18,M10017,M,300.6,311.1,1267,46.8,179,0
19,M10018,L,298.2,307.5,1367,45.9,41,0
20,M10019,L,297.2,309.0,1865,34.6,91,0
21,M10020,H,302.9,314.5,1935,49.9,223,0
22,M10021,L,299.5,310.2,1576,47.4,107,0
23,M10022,L,300.1,311.5,1566,36.9,242,0
24,M10023,H,297.2,307.2,1479,35.8,124,0
25,M10024,L,298.9,309.7,1372,50.9,218,0
26,M10025,H,300.2,311.7,1785,42.3,9,0
27,M10026,L,297.7,307.9,1874,50.3,110,0
28,M10027,H,300.8,310.5,1379,16.3,177,0
29,M10028,H,298.8,307.1,1524,41.0,218,0
30,M10029,L,299.4,309.3,1458,24.4,154,0
31,M10030,H,298.8,309.6,1464,39.7,44,0
32,M10031,M,303.7,314.7,1751,47.1,224,0
33,M10032,L,300.0,310.5,1304,57.2,145,0
34,M10033,M,297.9,307.3,1622,30.7,27,0
35,M10034,L,301.6,309.7,1669,34.8,117,0
36,M10035,H,297.6,307.1,1514,39.1,177,0
37,M10036,L,300.4,310.1,1699,30.4,114,0
38,M10037,L,296.1,305.8,1565,49.7,220,0
39,M10038,M,297.3,308.0,1757,39.3,107,0
40,M10039,L,300.4,312.4,1267,41.2,148,0
41,M10040,M,301.5,311.6,1477,46.1,53,0
42,M10041,L,300.3,310.1,1526,39.3,130,0
43,M10042,M,299.8,309.5,1061,31.9,56,0
44,M10043,L,299.4,309.5,1345,39.4,57,0
45,M10044,H,297.0,306.2,1393,31.5,71,0
46,M10045,M,298.6,308.7,1709,41.1,11,0
47,M10046,L,299.1,309.5,1412,49.9,41,0
48,M10047,L,302.1,312.3,1393,28.4,107,0
49,M10048,M,300.7,311.1,1685,24.8,33,0
50,M10049,L,296.5,306.9,1249,40.5,34,0
51,M10050,H,300.6,308.9,1168,32.4,245,0
52,M10051,L,299.2,309.9,1474,40.3,108,0
53,M10052,H,298.6,308.0,1280,43.2,102,0
54,M10053,M,301.2,310.1,1287,18.8,68,0
55,M10054,L,302.1,311.0,1642,46.8,130,0
56,M10055,H,301.9,312.3,1696,28.4,151,0
57,M10056,H,298.3,308.1,1680,39.8,106,0
58,M10057,M,299.4,307.7,1737,33.5,100,0
59,M10058,L,300.7,311.1,1761,34.5,177,0
60,M10059,L,302.0,310.5,1158,56.8,240,0
61,M10060,M,299.0,309.2,1620,43.2,222,0
62,M10061,L,299.6,309.9,1444,49.0,30,0
63,M10062,M,297.8,308.7,1405,41.5,165,0
64,M10063,M,297.6,309.4,1639,46.1,2,0
65,M10064,M,301.6,310.3,1229,44.1,160,0
66,M10065,M,302.7,312.7,1226,42.5,117,0
67,M10066,L,299.9,309.6,1652,51.0,124,0
68,M10067,L,302.0,312.4,1626,41.5,149,0
69,M10068,M,300.7,310.9,1563,62.6,188,0
70,M10069,L,298.7,308.4,1381,49.5,185,0
71,M10070,L,300.7,310.3,1672,28.7,11,0
72,M10071,L,303.1,312.0,1661,38.3,186,0
73,M10072,L,299.9,310.9,1554,43.9,210,0
74,M10073,M,303.1,313.6,1328,40.4,17,0
75,M10074,M,294.8,305.7,1463,46.8,82,0
76,M10075,L,301.6,311.3,1689,47.9,200,0
77,M10076,M,300.2,309.5,1777,26.5,125,0
78,M10077,L,299.4,308.3,1481,52.7,176,0
79,M10078,M,300.2,310.5,1494,35.1,127,0
80,M10079,H,296.0,305.0,1510,34.1,247,0
81,M10080,L,299.6,311.4,1588,34.1,237,0
82,M10081,L,300.7,309.4,1435,48.0,71,1
83,M10082,M,303.0,313.2,1021,37.4,98,0
84,M10083,H,299.0,310.5,1753,33.4,109,0
85,M10084,L,298.4,309.0,1860,35.8,26,0
86,M10085,L,299.0,309.2,1429,22.2,102,0
87,M10086,H,301.8,310.9,1348,31.7,196,0
88,M10087,L,300.7,309.3,1514,27.7,214,0
89,M10088,L,298.9,309.7,1505,37.3,224,0
90,M10089,M,301.0,312.5,1717,46.6,4,0
91,M10090,L,300.2,309.8,1549,45.5,200,0
92,M10091,M,301.9,310.8,1397,52.4,127,0
93,M10092,M,298.6,306.1,1303,50.2,52,0
94,M10093,H,299.3,308.4,1694,34.8,126,0
95,M10094,L,299.2,309.1,1646,40.2,214,0
96,M10095,M,297.1,308.7,1729,39.7,110,0
97,M10096,M,300.6,311.3,1366,18.7,251,0
98,M10097,H,300.5,310.8,1868,27.9,156,0
99,M10098,L,300.0,309.6,1227,38.3,124,0
100,M10099,M,299.5,308.9,1666,38.3,75,0
101,M10100,M,297.2,308.6,1197,45.1,3,0
102,M10101,M,299.2,309.4,1398,44.6,154,0
103,M10102,H,299.3,307.2,1818,22.5,146,1
104,M10103,M,298.4,307.7,1688,45.1,131,0
105,M10104,M,299.7,308.8,1441,41.8,136,0
106,M10105,M,300.8,310.3,1446,46.2,213,0
107,M10106,L,303.8,314.3,1557,50.6,80,0
108,M10107,L,300.3,310.2,1631,38.6,139,0
109,M10108,L,300.5,310.4,1763,52.3,172,0
110,M10109,M,299.9,311.2,1457,31.2,53,0
111,M10110,L,296.2,305.5,1250,30.6,234,0
112,M10111,M,299.9,311.8,1567,44.2,186,0
113,M10112,L,300.1,309.4,1457,36.3,13,0
114,M10113,M,304.9,315.0,1306,42.6,219,0
115,M10114,L,299.6,309.3,1592,59.7,235,0
116,M10115,L,300.6,310.7,1501,43.9,201,0
117,M10116,L,299.9,310.4,1594,42.1,108,0
118,M10117,H,297.7,308.1,1379,31.4,252,0
119,M10118,L,302.3,311.5,1626,23.2,31,0
120,M10119,L,301.5,310.4,1303,39.3,136,0
121,M10120,H,301.6,314.1,1391,50.6,43,0
122,M10121,L,298.2,307.7,1496,36.8,111,0
123,M10122,M,302.8,313.5,1851,44.0,235,0
124,M10123,H,297.2,305.6,1679,54.1,201,0
125,M10124,M,301.2,310.9,1732,53.9,198,0
126,M10125,M,304.4,314.3,1793,44.2,90,0
127,M10126,L,298.0,308.5,2184,41.7,236,0
128,M10127,M,298.9,306.1,1546,25.0,93,0
129,M10128,H,300.2,310.4,1793,33.8,10,0
130,M10129,H,299.0,307.8,1720,37.2,161,0
