UDI,Product ID,Type,Air temperature [K],Process temperature [K],Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF
1,L39691,L,297.02,306.41,23.87,33.26,1672,24.48,148,0,0,0,0,0
2,H17735,H,297.75,307.36,24.6,34.21,1536,32.37,178,0,0,0,0,0
3,M77004,M,300.78,309.75,27.63,36.6,1650,19.78,3,1,0,0,1,0
4,L99631,L,297.65,306.76,24.5,33.61,1357,41.62,82,0,0,0,0,0
5,L22527,L,302.23,312.66,29.08,39.51,1560,41.42,185,0,0,0,0,0
6,L38118,L,299.86,309.99,26.71,36.84,1413,29.78,97,0,0,0,0,0
7,L43991,L,300.17,310.66,27.02,37.51,1321,43.49,87,0,0,0,0,0
8,M54442,M,299.44,309.66,26.29,36.51,1384,34.95,228,1,1,0,0,0
9,M26226,M,301.55,312.25,28.4,39.1,1440,45.15,133,0,0,0,0,0
10,M88742,M,301.57,312.44,28.42,39.29,1753,14.17,46,1,0,0,1,0
11,L59448,L,300.67,308.93,27.52,35.78,1435,45.62,113,0,0,0,0,0
12,H21631,H,301.13,310.28,27.98,37.13,1312,29.11,124,0,0,0,0,0
13,M97436,M,299.58,309.34,26.43,36.19,1558,35.1,237,0,0,0,0,0
14,L28910,L,301.08,311.06,27.93,37.91,1540,31.53,172,0,0,0,0,0
15,L83605,L,299.32,308.65,26.17,35.5,1449,36.66,125,0,0,0,0,0
16,L72138,L,300.0,310.92,26.85,37.77,1507,25.79,104,0,0,0,0,0
17,L50277,L,299.45,311.43,26.3,38.28,1706,46.87,220,0,0,0,0,0
18,L45467,L,299.09,309.27,25.94,36.12,1652,24.38,155,0,0,0,0,0
19,L82194,L,298.62,308.71,25.47,35.56,1637,25.33,85,0,0,0,0,0
20,L30868,L,300.94,311.78,27.79,38.63,1328,57.51,112,0,0,0,0,0
21,M73556,M,302.62,310.76,29.47,37.61,2040,30.67,67,0,0,0,0,0
22,L79034,L,302.34,312.37,29.19,39.22,1719,23.3,231,0,0,0,0,0
23,L36582,L,297.49,308.47,24.34,35.32,1625,34.22,168,0,0,0,0,0
24,L67805,L,302.58,311.94,29.43,38.79,1331,41.15,94,0,0,0,0,0
25,L36096,L,299.36,308.14,26.21,34.99,1701,20.19,44,0,0,0,0,0
26,M28598,M,301.2,311.02,28.05,37.87,1447,33.52,42,0,0,0,0,0
27,L38166,L,298.19,308.13,25.04,34.98,1501,37.96,115,0,0,0,0,0
28,L54153,L,300.28,309.38,27.13,36.23,1241,56.31,112,0,0,0,0,0
29,L12850,L,300.63,312.72,27.48,39.57,1318,41.97,100,0,0,0,0,0
30,L39541,L,297.03,306.55,23.88,33.4,1612,34.64,204,0,0,0,0,0
31,M13277,M,301.22,310.06,28.07,36.91,1711,26.96,235,1,1,0,0,0
32,L89284,L,302.69,312.6,29.54,39.45,1655,43.39,85,0,0,0,0,0
33,L10784,L,299.65,310.56,26.5,37.41,1649,41.97,71,0,0,0,0,0
34,H98006,H,302.72,312.74,29.57,39.59,1524,43.92,185,0,0,0,0,0
35,H11811,H,299.62,310.11,26.47,36.96,1464,40.04,108,0,0,0,0,0
36,M67889,M,301.7,310.83,28.55,37.68,1586,23.35,52,0,0,0,0,0
37,L46125,L,295.56,307.05,22.41,33.9,1679,42.82,43,0,0,0,0,0
38,L59777,L,304.84,315.4,31.69,42.25,1536,37.76,67,0,0,0,0,0
39,M96823,M,302.99,314.04,29.84,40.89,1747,30.33,0,0,0,0,0,0
40,L61596,L,299.43,309.8,26.28,36.65,1497,41.85,226,0,0,0,0,0
41,L71362,L,296.06,306.88,22.91,33.73,1363,43.82,103,0,0,0,0,0
42,L10901,L,300.58,309.7,27.43,36.55,1533,28.82,20,0,0,0,0,0
43,L98438,L,297.11,306.62,23.96,33.47,1554,34.31,40,0,0,0,0,0
44,H82050,H,300.89,312.24,27.74,39.09,1521,22.45,78,0,0,0,0,0
45,L90913,L,300.82,312.38,27.67,39.23,1759,33.26,132,0,0,0,0,0
46,M34934,M,298.12,306.97,24.97,33.82,1676,44.83,169,0,0,0,0,0
47,L50097,L,302.24,312.49,29.09,39.34,1285,30.24,74,0,0,0,0,0
48,L48148,L,301.61,311.18,28.46,38.03,1804,32.8,230,1,1,0,0,0
49,L20601,L,301.95,311.25,28.8,38.1,1100,57.43,182,0,0,0,0,0
50,L85527,L,300.02,310.3,26.87,37.15,1911,36.51,198,0,0,0,0,0
51,H95738,H,297.17,308.31,24.02,35.16,1485,32.62,78,0,0,0,0,0
52,M26950,M,301.96,312.41,28.81,39.26,1502,29.33,91,0,0,0,0,0
53,H72229,H,299.46,309.14,26.31,35.99,1524,32.89,129,0,0,0,0,0
54,M72550,M,297.22,307.74,24.07,34.59,1602,45.28,108,0,0,0,0,0
55,L67160,L,302.7,312.34,29.55,39.19,1535,23.65,62,0,0,0,0,0
56,H34886,H,304.2,314.61,31.05,41.46,1512,28.17,239,1,1,0,0,0
57,L80042,L,299.92,311.31,26.77,38.16,1764,28.81,204,0,0,0,0,0
58,L95114,L,304.32,312.24,31.17,39.09,1634,27.26,57,0,0,0,0,0
