unit_id,cycle,op_setting_1,op_setting_2,op_setting_3,s2,s3,s4,s7,s8,s11,s12,s15,RUL
1,1,0.0014,0.0001,100.0,641.84,1584.64,1401.58,554.29,2387.82,47.43,520.33,8.373,231
1,2,0.0026,0.0001,100.0,641.77,1585.98,1403.69,554.32,2387.76,47.67,519.89,8.3977,230
1,3,0.0001,0.0002,100.0,642.06,1586.59,1400.65,553.79,2387.87,47.4,520.08,8.3683,229
1,4,0.0015,0.0004,100.0,641.67,1587.83,1402.82,554.28,2387.73,47.59,520.73,8.4285,228
1,5,-0.0021,0.0001,100.0,641.86,1586.16,1398.4,554.73,2387.73,47.42,520.48,8.3699,227
1,6,0.0005,0.0001,100.0,642.0,1587.05,1402.82,554.46,2387.88,47.5,520.44,8.3987,226
1,7,-0.0002,0.0002,100.0,642.09,1587.88,1398.27,554.69,2387.61,47.58,520.21,8.391,225
1,8,-0.0018,0.0002,100.0,641.31,1585.61,1401.3,554.85,2388.0,47.53,520.58,8.3548,224
1,9,0.0002,0.0001,100.0,641.77,1586.94,1402.83,554.55,2387.67,47.56,520.46,8.3563,223
1,10,0.0013,0.0001,100.0,641.62,1587.16,1400.77,553.94,2387.79,47.52,520.09,8.355,222
1,11,0.001,0.0002,100.0,642.31,1585.8,1399.61,553.96,2387.77,47.42,519.87,8.4006,221
1,12,0.0039,0.0003,100.0,641.97,1584.45,1399.9,554.6,2387.81,47.51,520.47,8.3705,220
1,13,0.0017,0.0002,100.0,640.98,1588.25,1405.74,554.98,2387.8,47.41,520.71,8.363,219
1,14,0.0024,0.0001,100.0,642.09,1585.45,1400.54,554.56,2388.01,47.48,520.37,8.3925,218
1,15,0.0047,0.0002,100.0,641.56,1587.68,1402.28,553.13,2387.86,47.57,520.24,8.3889,217
1,16,0.0029,0.0001,100.0,641.54,1585.25,1401.45,554.56,2387.82,47.53,520.45,8.379,216
1,17,-0.001,0.0001,100.0,641.76,1586.19,1403.26,554.26,2387.88,47.59,519.94,8.3987,215
